angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.732	6.4332	0.083039	12.043
0.733	6.4324	0.083041	12.042
0.734	6.4316	0.083044	12.042
0.735	6.4308	0.083047	12.041
0.736	6.43	0.08305	12.041
0.737	6.4292	0.083053	12.04
0.738	6.4285	0.083057	12.04
0.739	6.4277	0.083061	12.039
0.74	6.4269	0.083065	12.039
0.741	6.4261	0.08307	12.038
0.742	6.4254	0.083074	12.037
0.743	6.4246	0.083079	12.037
0.744	6.4238	0.083085	12.036
0.745	6.4231	0.08309	12.035
0.746	6.4223	0.083096	12.034
0.747	6.4215	0.083102	12.033
0.748	6.4208	0.083108	12.033
0.749	6.42	0.083115	12.032
0.75	6.4193	0.083121	12.031
