 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
122	33.4980	4031.0737	809.6688	2047	5643	6.5491	6.5125	139.1481	6.7110	135032.8393	3934	8424944.0000	736	751	125.7890	6.4566
123	30.3726	3530.7034	572.8379	2041	4748	6.2299	6.2074	103.9410	6.3980	107236.5493	3424	6690683.0000	118	794	117.0721	6.2034
124	25.1475	3491.5621	549.5236	2043	4546	5.6794	5.6377	107.4559	5.8291	87804.1608	3416	5478261.0000	462	930	124.3803	5.6970
125	23.7211	3146.5236	431.2873	2044	3979	5.5269	5.4646	85.8050	5.6533	74638.8763	3064	4656855.0000	233	930	124.0459	5.4438
126	15.2424	2932.2492	333.0693	2046	3579	4.4562	4.3551	59.7321	4.6083	44694.4680	2919	2788569.0000	810	979	52.8153	4.4310
127	18.3518	3052.5703	377.9816	2050	3778	4.8486	4.8191	173.1371	5.0163	56020.0560	2987	3495193.0000	781	14	137.0454	4.8108
128	26.2534	3750.4646	671.6647	2041	5149	5.8257	5.7378	0.2547	5.9717	98462.6100	3669	6143261.0000	419	84	147.9946	5.6970
129	22.6472	3382.8401	490.7936	2045	4312	5.4124	5.3277	141.8460	5.5834	76611.8594	3329	4779953.0000	877	85	122.9694	5.3172
130	30.0360	3501.6062	715.2788	2041	4787	6.3976	5.9777	125.6620	6.5356	105174.2115	3549	6562010.0000	988	87	98.9149	6.0581
131	23.0319	3205.7314	451.9047	2042	4118	5.4700	5.3611	54.1934	5.6220	73833.9790	3135	4606636.0000	76	175	35.8377	5.4438
132	28.0806	3423.8653	756.3735	2013	4807	6.1690	5.7956	126.5182	6.3980	96144.2130	3563	5998612.0000	965	161	152.9279	5.8847
133	34.1070	4098.2979	838.8353	2041	5708	6.6041	6.5757	142.8241	6.7527	139780.8018	4004	8721178.0000	582	152	120.4111	6.5832
134	31.6868	3531.6859	597.5838	2044	4778	6.3888	6.3150	51.5231	6.5650	111907.9953	3405	6982143.0000	32	232	50.4774	6.3300
135	27.2792	3611.2309	621.7147	2045	4917	5.9171	5.8699	29.2916	6.0676	98511.5587	3496	6146315.0000	156	241	23.3556	5.9502
136	30.8855	3874.9953	965.6649	2041	5538	6.4427	6.1038	148.5900	6.6462	119681.0181	4006	7467116.0000	712	423	139.6355	6.2501
137	28.8820	4098.6665	843.1749	2041	5606	6.0996	6.0288	89.0776	6.2292	118377.6580	4062	7385797.0000	577	424	127.5686	6.0768
138	32.5363	4042.4685	812.5845	2045	5578	6.4505	6.4223	51.6034	6.6342	131527.0429	3960	8206211.0000	288	470	41.9059	6.4566
139	28.8980	3704.8026	638.5615	2042	5021	6.0907	6.0410	41.2983	6.2344	107061.4622	3628	6679759.0000	187	482	29.1676	6.0768
140	22.9197	3748.8112	677.4534	2042	4929	5.4295	5.3747	6.3910	5.5762	85921.5260	3772	5360800.0000	451	561	129.4725	5.4240
141	30.9496	3944.8457	994.4848	2041	5589	6.3404	6.2151	67.0906	6.6269	122091.2861	4064	7617497.0000	640	609	83.4181	6.3300
142	32.3280	3698.8151	1010.8243	2033	5358	6.6455	6.1938	80.4168	6.9307	119575.1388	3947	7460510.0000	805	623	80.5377	6.3255
143	31.7189	3892.8060	733.2508	2041	5300	6.3835	6.3266	132.4573	6.5356	123475.5382	3815	7703863.0000	943	572	121.5348	6.3300
144	32.9210	3859.9800	1063.3766	2041	5607	6.5408	6.4084	15.2157	6.7301	127074.3435	4070	7928399.0000	712	609	163.6105	6.5257
145	28.3851	3998.8306	933.2462	2041	5602	6.1472	5.8793	57.5237	6.3300	113507.3397	4070	7081929.0000	567	660	53.1301	5.9502
146	19.5699	3426.2981	595.4868	2044	4398	5.0878	4.8974	135.7122	5.3831	67052.2242	3507	4183510.0000	773	710	131.1859	4.9374
147	43.6115	4065.8379	1028.1469	2041	6066	7.6105	7.2962	136.5956	7.7733	177317.2476	4068	11063145.0000	811	741	142.9435	7.4441
148	17.5504	3258.0155	436.3041	2043	3966	4.7417	4.7126	49.0009	4.8901	57179.4068	3229	3567527.0000	648	857	68.7495	4.6842
149	29.8116	3506.3952	577.3778	2041	4632	6.1821	6.1399	86.5291	6.3300	104531.2585	3422	6521895.0000	165	835	126.8699	6.2034
150	31.2701	3791.5018	689.2140	2043	5120	6.3385	6.2813	84.2575	6.4851	118560.7429	3721	7397220.0000	352	907	51.3402	6.3300
151	21.1085	3280.5566	455.4333	2042	4067	5.1988	5.1697	127.4899	5.3368	69247.7525	3243	4320493.0000	507	75	157.6938	5.1906
152	37.6331	3674.4928	754.2684	2041	5247	7.0734	6.7741	35.7297	7.2550	138282.7047	3598	8627709.0000	33	113	29.2488	6.8364
153	39.9732	3702.6006	885.8618	2037	5323	7.3587	6.9164	45.0910	7.5728	148004.7651	3763	9234286.0000	179	140	51.7890	7.0577
154	26.5900	3630.3665	711.6786	2042	4848	5.9289	5.7103	32.2281	6.0979	96531.5394	3675	6022778.0000	245	194	48.3665	5.8050
155	35.7098	3676.1275	811.0656	2026	5138	7.0579	6.4421	45.1296	7.2705	131273.8206	3712	8190412.0000	118	207	54.9262	6.5350
156	28.5775	3500.4907	653.1619	2041	4688	6.0772	5.9873	62.3384	6.3717	100035.1560	3535	6241375.0000	70	269	49.0283	6.0581
157	27.1831	3731.6710	666.3695	2046	5017	5.9266	5.8398	125.9527	6.0795	101438.2086	3673	6328914.0000	937	299	121.3730	5.8236
158	25.9649	3560.0253	596.1220	2041	4738	5.7977	5.7022	65.5557	5.9516	92435.8580	3480	5767241.0000	43	346	60.7086	5.6970
159	49.3975	4220.8300	1235.8849	2042	6577	7.9460	7.9153	91.4162	8.1123	208498.4688	4276	13008598.0000	553	444	67.0362	7.9758
160	21.5413	3505.4710	537.8943	2043	4400	5.2403	5.2339	32.9941	5.3980	75512.3562	3480	4711353.0000	421	445	39.2894	5.1906
161	19.9225	3314.6814	507.6215	2041	4164	5.1019	4.9719	81.3156	5.2337	66036.6903	3334	4120149.0000	123	523	57.8477	4.9374
162	12.3414	2921.6416	309.2844	2050	3409	3.9691	3.9590	137.7373	4.1082	36057.0370	2917	2249664.0000	268	639	123.6901	3.9246
163	43.1467	4058.4993	1126.5389	2042	6067	7.4685	7.3557	48.8626	7.6643	175110.7883	4169	10925480.0000	572	737	59.1986	7.4505
164	23.4967	3644.9386	623.7290	2042	4689	5.4871	5.4523	125.6508	5.6533	85643.9255	3650	5343480.0000	410	707	124.0459	5.4438
165	39.8770	3781.8131	1054.7132	2041	5571	7.2708	6.9831	97.5213	7.4124	150807.4564	4009	9409151.0000	757	724	97.8533	6.9630
166	26.0932	3520.8655	553.9362	2041	4529	5.7743	5.7536	118.3964	5.9341	91870.5274	3470	5731969.0000	867	749	146.3099	5.6970
167	28.9782	3504.3855	556.3616	2041	4612	6.1014	6.0471	109.0098	6.2536	101550.6432	3435	6335929.0000	276	893	58.2405	6.0768
168	23.2563	2796.9173	311.6400	2043	3433	5.4522	5.4309	89.5251	5.5963	65045.8232	2706	4058327.0000	11	876	127.6476	5.4438
169	31.6708	3595.5030	733.4742	2042	4905	6.5229	6.1820	48.6522	6.7420	113872.5318	3663	7104714.0000	619	960	34.2869	6.3379
170	39.8289	3644.9227	894.2270	2041	5286	7.3319	6.9166	108.1533	7.5717	145173.4162	3774	9057633.0000	717	927	110.5560	6.9630
171	34.7642	3660.7888	633.7704	2041	4924	6.6762	6.6300	123.9564	6.8411	127264.3044	3575	7940251.0000	347	932	128.9910	6.7098
172	33.4018	3387.6272	516.7338	2042	4451	6.5308	6.5120	144.6328	6.6895	113152.9022	3284	7059815.0000	906	965	119.4759	6.4566
173	35.7098	3802.1665	983.4048	2037	5447	6.8248	6.6621	124.7461	7.0032	135774.6514	3973	8471227.0000	633	246	139.3987	6.7752
174	33.3858	3910.8056	952.3250	2041	5595	6.6357	6.4059	23.5889	6.8059	130565.3303	3970	8146208.0000	784	330	18.4349	6.4566
175	31.8151	3590.0605	930.3345	2041	5083	6.3823	6.3469	5.8117	6.5686	114218.0259	3865	7126270.0000	475	321	152.4472	6.4539
176	42.9544	3793.2090	1078.9941	2041	5689	7.5790	7.2162	59.2147	7.7733	162934.8323	4028	10165800.0000	312	482	52.9435	7.3428
177	21.0284	3134.5343	392.8236	2041	3889	5.2277	5.1216	76.8337	5.3861	65914.2384	3077	4112509.0000	30	525	66.4477	5.0640
178	45.2944	4180.2622	1017.3164	2041	6193	7.6888	7.5006	99.3282	7.8584	189342.4787	4137	11813421.0000	836	630	87.2298	7.5535
179	36.6394	3710.6881	825.3090	2041	5255	7.0148	6.6504	73.3594	7.2062	135957.4638	3782	8482633.0000	226	623	71.5651	6.7580
180	21.4291	3412.6208	539.7906	2041	4266	5.2945	5.1534	91.2356	5.4128	73129.3674	3452	4562674.0000	376	644	100.7843	5.1906
181	35.3572	3766.8354	679.7029	2041	5076	6.7762	6.6436	77.6613	6.9076	133184.7604	3694	8309639.0000	335	793	48.7153	6.7098
182	30.2123	3514.9019	559.2125	2042	4549	6.2366	6.1680	89.4116	6.3717	106193.2554	3488	6625590.0000	942	784	130.9717	6.0768
183	5.3052	2318.7734	105.0474	2043	2513	2.6253	2.5730	67.5570	2.7388	12301.5173	2321	767514.0000	255	824	33.6901	2.5320
